File,ChangedLines,BeforeMarkers,AfterMarkers,BeforeViet,AfterViet
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\02-state-auth-ui.js",5,11,5,1418,1418
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\03-editor-core.js",4,28,18,699,698
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-801-competence-training-and-certification.html",1,2,0,953,954
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-cam-nc.html",2,2,0,264,264
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-operator.html",2,2,0,283,283
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-planner-dispatcher.html",2,2,0,274,274
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-purchasing.html",2,2,0,262,262
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-qa-qms.html",2,2,0,269,269
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-qc-inspector.html",2,2,0,281,281
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-setup-teamlead.html",2,2,0,269,269
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-warehouse-receiving.html",2,2,0,255,255
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-04.html",1,1,0,1942,1942
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html",2,3,0,2016,2016
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-09.html",1,3,0,1287,1286
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html",1,2,0,1584,1584
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-23.html",1,1,0,1855,1855
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-26.html",1,2,0,1788,1788
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-01.html",2,2,0,2645,2645
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html",1,1,0,2665,2665
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-06.html",3,4,0,2355,2356
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\04-Templates-Tools\evidence-naming-rule.html",1,1,0,225,225
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\04-Templates-Tools\trainee-workbook.html",1,4,0,717,717
